問題文	答え	メモ	ジャンル
「オールドフェイスフル・ガイザー」という間欠泉が有名な、アメリカにある世界初の国立公園は何でしょう？	イエローストーン国立公園	間欠泉とは一定の周期で水蒸気や熱湯などを噴出させる温泉のことです。オールドフェイスフル・ガイザーは世界で最も有名な間欠泉の1つです。	
七福神の中で唯一女性であり、ヒンドゥー教のサラスヴァティと同一視される女神は誰でしょう?	弁財天	七福神は弁財天、大黒天、恵比寿天、寿老人、毘沙門天、福禄寿、布袋尊の7人です。七福神はよくクイズに出されるので、それぞれの特徴を押さえておきましょう。	
ケチュア語で「老いた峰」という意味の言葉を語源とする、ペルー南部にあるインカ帝国時代の遺跡は何でしょう？	マチュ・ピチュ	有名な世界遺産は覚えておきたいです。インカ帝国の首都がクスコであることもセットで覚えましょう。	
一度失敗したことに懲りて次からは用心しすぎることを、「羹あつものに懲りて何を吹く」というでしょう？	膾	羹とは「熱い吸い物」、膾とは「和え物」のことです。吸い物が熱かったから冷たい和え物にまでふーふーすることが由来です。漢字が難しいですね。。。	
禁欲的な思想を意味する「ストイック」という言葉の語源となった、ヘレニズム哲学の一派は何でしょう？	ストア派	古代ギリシャのゼノンによって創始されました。	
全員が同じ内容を言うことを「口を揃える」といいますが、借りたお金を不足なく返すことを「何を揃える」というでしょう？	耳	「揃える」が共通している慣用句でのパラレル問題になっています。「耳」とは大判や小判の縁のことを指しています。	
相手を威圧するような態度を、将棋の駒を使った漢字三文字で何というでしょう？	高飛車	将棋や囲碁が由来となっている言葉はよくクイズにでます。	
日本銀行本店本館や東京駅の赤レンガの駅舎を設計した、日本の建築家は誰でしょう？	辰野金吾	日本を代表する建築家の一人です。実は小惑星の名前にもなっています。	
ギリシア神話に登場する人類初の女性で、開けてはいけないものを意味する「箱」に名を残すのは誰でしょう？	パンドラ	プロメテウスが人類に火を与えたことに怒ったゼウスが、人類に災いをもたらすためにパンドラという女性を作りました。	
どんな人にもそれぞれぴったり合う相手がいるということを、「何にとじぶた」というでしょう？	割れ鍋	「破われ鍋」とも書きます。どんな鍋にもペアの蓋があるということからです。	
ドミニカ国の首都はロゾーですが、ドミニカ共和国の首都はどこでしょう？	サント・ドミンゴ	クイズに出やすい首都は以下にまとめてあります。	
気象庁の用語で、最高気温が25度以上の日を夏日、30度以上の日を真夏日といいますが、35度以上の日を何というでしょう?	猛暑日	数字と共に覚えましょう。ちなみに最低気温が0度未満の日を冬日、最高気温が0度未満の日を真冬日と言います。	
推理小説において、自分は現場に行かず、聞いた情報だけで事件を解決する探偵のことを何というでしょう？	安楽椅子探偵	その名の通り、椅子に座ったまま事件を解く探偵のことです。	
実際には見ていないのに見たふりをするという意味の四字熟語を、京都のある地名を使って何というでしょう？	白河夜船	京都の白河のことを聞かれた人が、川の名前だと思い込んで答えたために京都見物に行っていないことがバレたという話が由来です。ぐっすり眠り込んで、何が起こったか知らない様を表すのにも使われます。	
命題「AならばBである」に対して、命題「AでないならBでない」を何というでしょう？	裏	「BならばA」を逆、「BでないならAでない」を対偶といいます。	
副腎から分泌されて血圧を上げる効果をもつ、1901年に高峰譲吉らによって世界で初めて結晶化されたホルモンは何でしょう？	アドレナリン	高峰譲吉が結晶化したことがよくクイズに出されます。	
ラテン語で「食事の前」という意味である、イタリア料理のコース料理の前菜のことを何というでしょう？	アンティパスト	フランス料理の前菜のことは「オードブル」といいます。	
ことわざ「急がば回れ」の語源にも登場する、日本で最も面積が大きい滋賀県にある湖は何でしょう?	琵琶湖	「急がば回れ」とは、急いでいても琵琶湖を渡るのではなく、外周を回るべきだということが由来になっています。前半部分で答えたいところです。	
本名をエドソン・アランテス・ド・ナシメントという、「サッカーの神様」として知られるブラジルの伝説的サッカー選手は誰でしょう？	ペレ	「サッカーの神様」がキーワードです。各スポーツの有名選手は覚えておきましょう。	
スニーカーのひもを通す金属の輪のことを、ある鳥の名前を使って何というでしょう？	鳩目	鳩の目に似ていることから名付けられました。	
日本の市を五十音順に並べた時に最後にくる、日本の市で最も面積が小さいのはどこでしょう？	蕨市	埼玉県にある市です。	
1961年にボストーク1号に乗って人類初の有人宇宙飛行を成功させ、「地球は青かった」という名言を残したソ連の宇宙飛行士は誰でしょう？	ユーリイ・ガガーリン	ボストーク1号に一人で乗りました。そのほかの名言に「さあ行こう」「神はいなかった」などがあります。何かを初めてやり遂げた人物はクイズによくでます。	
江戸時代に能書家である岡崎屋勘六が考案した、歌舞伎の看板を書くのに用いられる書体を何というでしょう？	勘亭流	お客さんが来ることを願って枠一杯に隙間なく書かれるのが特徴です。	
金融商品取引法第166条・167条で禁止されている、非公開の内部情報をもとに会社の株式を売買する行為を何というでしょう？	インサイダー取引	「内部の者」を意味する英語からきています。	
元々は狼が寝た後に草が乱れている様子を指していた言葉で、物が散らかっていたり乱暴な行いをしたりすることを何というでしょう？	狼藉	「藉」には踏みにじるという意味があります。	
お弁当の中に入っている緑色のギザギザした仕切りを、かつて使われていた植物の名前から何というでしょう?	バラン	よく見るけど名前がわからないものはクイズによく出ます。通称「あれの名前」に関しては以下のサイトをご参照ください！	
カクテルを作るときに使われる「グレナデンシロップ」の「グレナデン」とは何の果物のことでしょう？	ザクロ	一般的にはザクロの果汁と砂糖から作られます。最近のものはキイチゴやカシスなどから作られているものがあります。	
正式名称を「世界を照らす自由」という、アメリカの独立100周年を記念してフランスから贈られたニューヨークのリバティ島にある像を何というでしょう？	自由の女神	作製者はフレデリク・バルトルディです。	
世界最初の近代的な国際条約といわれる、1648年にドイツとフランス・スウェーデンとの間に締結された三十年戦争の講和条約は何でしょう？	ウェストファリア条約	ウェストファリアはドイツ西部にある都市です。三十年戦争は1618年から1648年まで続いた最大の宗教戦争です。	
「メモを取る」などと言うときの「メモ」とは、何と言う英語の略でしょう？	メモランダム	略語の正式名称はよくクイズに出ます。略語のまとめは以下からどうぞ。	
めったにない幸運に出会うことを、目の見えない亀にたとえて何というでしょう？	盲亀の浮木	大海中に住んでいてる目の見えない亀が100年に1度水面に出てきた時に、ようやく浮木を見つけて穴に入れたことからこの意味になります。	
1月の英語名「January」の語源となっている、ローマ神話に登場する前後2つの顔をもつ神は何でしょう？	ヤヌス	1年の終わりと始まりに位置していることから1月の守護神とされています。	
お菓子を作るパティシエのうち、特にアイスクリームを専門に作る人のことを何というでしょう？	グラシエ	チョコレートを専門に作る人はショコラティエと呼ばれます。	
フランス語で「古い制度」という意味がある、フランス革命以前の封建的な社会の体制のことを何というでしょう？	アンシャンレジーム	"フランス革命以前の特に16-18世紀のフランスで敷かれた絶対王政体制を指します。
クイズによく出る語源問題は以下にまとめました！"	
トランプゲームのポーカーにおいて、ストレートより強く、フルハウスより弱い役はなんでしょう？	フラッシュ	ストレートは連続した5つの数字を集めること、フラッシュは5枚全てが同じスートであること、フルハウスは、ペアとトリオを作ることです。	
花札の10月の札に鹿とともに描かれており、鹿肉の別名にもなっている植物は何でしょう？	もみじ	10月の札の鹿がそっぽ向いていることから「しかと」という言葉が生まれたことも覚えておきましょう。	
7～10年を1周期とする景気の循環のことを、発見者であるフランスの経済学者の名前をとって何の波というでしょう？	ジュグラーの波	景気循環の名前の1つです。その他にもキチンの波やコンドラチェフの波などがあります。	
中国雲南省ナシ族に伝わる、世界最後の象形文字と言われるのは何でしょう？	トンパ文字	ナシ族の中でも少数の「トンバ」と呼ばれる司祭にのみ伝わる文字です。世界で唯一の「生きた象形文字」と言われています。	
木炭でデッサンをするときなどに、消しゴムの代わりとしてよく用いられる食品は何でしょう？	(食)パン	食パンは練り消しゴムよりも木炭紙を傷めることが少ないので、描き始めの段階で特に使われやすいです。	
一般的に「世界三大瀑布」と呼ばれるのは、ナイアガラの滝、ビクトリアの滝と何でしょう？	イグアスの滝	「三大○○」はよくクイズに出されます。「世界三大」については以下をご参照ください！	
バルト三国で、エストニア共和国の首都はタリン、ラトビア共和国の首都はリガですが、リトアニア共和国の首都はどこでしょう？	ビリニュス	バルト海東岸にあるエストニア、ラトビア、リトアニアを「バルト三国」といいます。以下の記事も使って3つまとめて覚えましょう！	
1492年にグラナダが陥落するまでの約800年間続いた、キリスト教徒による国土回復運動のことをスペイン語で何というでしょう？	レコンキスタ	スペイン語で「再征服」という意味です。スペインがある半島をイベリア半島といいます。	
ボウリングで、スペアもストライクも取れなかったフレームのことを特に何というでしょう？	オープンフレーム	単にオープンともいいます。	
英語で「より小さいパンダ」という意味である、パンダより小さいネコ目の動物は何でしょう？	レッサーパンダ	元々はレッサーパンダのことを「パンダ」と呼んでいたのですが、ジャイアントパンダなどのことを「パンダ」と呼ぶようになり、「レッサーパンダ」と呼ばれるようになりました。	
儒教で「四書」と呼ばれる4つの書物とは、『論語』『孟子』『大学』と何でしょう？	中庸	他に「五経」と呼ばれる『易経』『書経』『詩経』『礼記』『春秋』という書物もあります。	
南極・北極、砂漠地帯の一部など、人間が居住することのできない地域のことを、人間が居住できる「エクメーネ」に対して何というでしょう？	アネクメーネ	ドイツ語由来の言葉です。「エクメーネ」に否定を表す「An」をつけて「アネクメーネ」となります。	
釣りにおいて、魚が1匹も釣れないことを俗に何というでしょう？	ボウズ	「オデコ」とも言います。「毛がない」ということから魚が1匹もいないという比喩になっています。	
鳥のモズが行う、捕まえた獲物を枝などに突き刺す習性のことを何というでしょう？	早贄	2019年の研究で、モズが早贄を食べることで歌が上手くなりメスが寄ってきやすくなるということが示されました。その他にも早贄を行う理由として様々な仮説が飛び交っています。	
11月の第3木曜日に毎年解禁されるフランスの新酒ワインを、その地方名と「新しい」と言う意味のフランス語から何というでしょう?	ボジョレー・ヌーボー	毎年出されるユニークな評価も注目されています。	
北極星を探す際の目印となる、ドゥーベ、メラク、フェクダ、メグレズ、アリオト、ミザール、アルカイドの7つの星のことを何というでしょう？	北斗七星	7つの星がひしゃく(斗)状に並んでいることから名付けられました。おおぐま座の一部に含まれます。	
透明度と深さで世界一を誇り、世界で唯一淡水にのみ生息するアザラシなどで知られるロシアの湖は何でしょう？	バイカル湖	バイカルアザラシという固有種が存在します。バイカル湖は「シベリアの真珠」とも呼ばれています。	
正式名称を「重要無形文化財保持者」という人々のことを、一般に漢字4文字で何というでしょう？	人間国宝	芸能、工芸技術等の無形の「わざ」そのものを持つ人々のことを指します。	
三味線、タンス、羊羹ようかんを数えるときに共通して使われる単位は何でしょう？	棹	三味線の柄の部分を「棹」といいます。タンスは棹を通して運んだと言われています。羊羹のような棒状のお菓子のことを棹物と言います。	
ドイツ語で「皿」という意味である、細菌の培養などに用いられる平らなガラス容器を何というでしょう？	シャーレ	発明者の名前から「ペトリ皿」ともいいます。	
通常は第一バイオリンの首席奏者が務める、オーケストラで団員たちを取りまとめる役職を何というでしょう？	コンサートマスター	「第二の指揮者」と呼ばれます。客席から見て指揮者の左側に位置します。	
アンモナイトや三葉虫などのように、地層が堆積した年代の推定に役立つ化石のことを何というでしょう?	示準化石	地層が堆積した時の環境の推定に役立つ化石を「示相化石」といいます。	
1221年、後鳥羽上皇が鎌倉幕府打倒を掲げた戦いのことを、当時の元号から何の乱というでしょう？	承久の乱	鎮圧されてしまい、鎌倉幕府陥落とはいきませんでした。「1221年」という元号が有名なので覚えておきましょう。	
カロリン諸島など4つの群島からなるオセアニアの一地域のことを、「小さな島々」という意味のギリシャ語で何というでしょう？	ミクロネシア	キリバスやグアム島などが含まれます。「マイクロネシア」ともいいます。	
ビリヤードで用いる、手玉をつくための棒状の道具を何というでしょう？	キュー	「手玉」はプレイヤーが突く白いボールのことです。番号の書かれた手玉以外のボールを「的球」といいます。	
美術監督のセドリック・ギボンズによってデザインされた、アカデミー賞受賞者に贈られる黄金の像を一般に何像というでしょう？	オスカー像	ギボンズ自身も11回アカデミー美術賞を受賞しています。	
鼻の入口から1cmほどのところにある、血管が集まってるために鼻血が出やすい部位のことを何というでしょう？	キーゼルバッハ部位	ドイツの耳鼻科医の名前からつけられました。	
著書『パンセ』の中で「人間は考える葦である」という言葉を残した、17世紀のフランスの哲学者は誰でしょう？	ブレーズ・パスカル	幅広い分野で活躍した人物で、圧力の単位「Pa」や「パスカルの三角形」などに名前を残したりもしています。	
水泳の個人メドレーとメドレーリレーで、共通して最後に行われる泳法は何でしょう？	自由形	個人メドレーはバタフライ→背泳ぎ→平泳ぎ→自由形、メドレーリレーは背泳ぎ→平泳ぎ→バタフライ→自由形です。	
ある行為を禁止されると、逆にその行為をしたくなってしまうと言う効果を、過激な内容のため上映を制限され、かえって人々の興味を引いた映画のタイトルから「何効果」というでしょう？	カリギュラ効果	"1980年に公開された映画『カリギュラ』が過激な内容であったため、ボストンなどの一部の地域で公開禁止になったことでかえって話題を呼んだことに由来します。
クイズによく出る効果や法則は以下からどうぞ！"	
別名「アスコルビン酸」と呼ばれるビタミンで、欠乏すると「壊血病」を引き起こすのはビタミン何でしょう？	ビタミンC	化学式C6H8O6で表されます。フルーツや野菜などから摂取できます。	
喉元まで出かかっているがなかなか思い出せないという現象を、「舌先」と言う意味の英語の略から「何現象」というでしょう？	TOT現象	「Tip-of-Tongue」の頭文字をとっています。	
『新約聖書』の『ルカによる福音書』において、聖母マリアにイエスの受胎を告知した天使は誰でしょう？	ガブリエル	受胎告知については『マタイによる福音書』にも記されていますが、マリアの夫であるヨセフの夢に天使が現れたと記載されています。	
兄ウィルバー、弟オーヴィルからなる、世界で初めて有人動力飛行を成し遂げたアメリカ人兄弟を何兄弟というでしょう？	ライト兄弟	実は5人兄弟であったことが知られています。飛行機のイメージが強いですが、家業は自転車屋さんです。	
日本語では「既視感」という、実際には体験したことないのに、体験したことがあるかのように感じることを、フランス語で何というでしょう？	デジャヴ	逆に、見たことあるのに見たことないように感じることを「ジャメヴ」といいます。	
平安時代の日記文学で、『蜻蛉日記』を書いたのは藤原道綱母ですが、『更級さらしな日記』を書いたのは誰でしょう？	菅原孝標女	"他の有名な平安時代の日記文学には紫式部の『紫式部日記』があります。
「ですが問題」は以下から挑戦してみてください！"	
ボウリングにおいて、第10フレームで3回連続ストライクを出すことを何というでしょう？	パンチアウト	パンチアウト並の有終の美を飾れましたでしょうか？	
プラハで開催されるものが有名な、4年に1度開催される展覧会をイタリア語で何というでしょう？	カドリエンナーレ	イタリア語で「4年に1度」という意味です。	
現地では「ドンドゥルマ」と呼ばれる、独特な粘り気が特徴的なアイスを発祥国の名前から日本では何と呼ばれているでしょう？	トルコアイス	ドンドゥルマはトルコ語で「凍らせたもの」という意味があります。	
アニメなどのキャラクターの格好をする「コスプレ」とは、何という言葉の略でしょう？	コスチュームプレイ	「アニメやゲームのキャラクターの格好をする」の部分は早めに読まれることが多いです(コスプレが答えだと勘違いされてしまうため)。略語については以下でまとめてあります。	
赤土や砂利などに消石灰やにがりを混ぜて作られる、玄関などに使われる素材を何というでしょう？	三和土	三種類の材料を混ぜることからこのような名前がつきました。	
日本の市の中で、唯一その名前に濁音と半濁音の両方が含まれるのどこでしょう？	別府市	意外にも別府しかありません。	
"井原西鶴は23,500句という記録を残している、1日の間に俳句をどれだけ詠めるかを競う競技を何というでしょう？"	矢数俳諧	"23,500句とはとてつもない記録ですね。。"	
オーストラリアの森林の70%以上を占める、コアラの食料であるフトモモ科の植物は何でしょう？	ユーカリ	1000種類近くあると推定されています。	
幼い頃の習慣は歳をとっても変わらないことを、ある鳥を使ったことわざで何というでしょう?	雀百まで踊り忘れず	前半部分だけ聞いて「三つ子の魂百まで」と答えないように注意しましょう。	
茶碗蒸しの中でも特にうどんが使われているものを、うどんを麻糸に見たてた呼び名で「何蒸し」というでしょう？	小田巻蒸し	茶碗蒸しは入っている具によって名前が変わります。	
そのタイトルには「嫌がらせ」といった意味がある、52拍の同じフレーズを840回繰り返すエリック・サティのピアノ曲は何でしょう?	ヴェクサシオン	演奏時間は18時間~25時間かかるといわれています(テンポの指定がないため幅があります)。	
バスケットボールにおいて、トラベリングやダブルドリブルなどの比較的軽い反則のことを総称して何というでしょう?	バイオレーション	身体への接触やスポーツマンシップに反する反則はバイオレーションになりません。	
インダス文明の遺跡である「ハラッパー」や「モヘンジョ・ダロ」は共にどこの国にあるでしょう ？	パキスタン	インダス文明はハラッパー文明という別名もあります。	
アルコール度数96%のため飲酒中は喫煙禁止とされている、ポーランド原産のウォッカはなんでしょう？	スピリタス	世界最高純度のお酒です。スピリタスを飲んでいる時に喫煙をしたことで引火して事故が起きています。	
「幕末の三舟」と称される3人とは、勝海舟、山岡鉄舟と誰でしょう？	高橋泥舟	"幕末から明治時代初期に活躍した幕臣の3人です。名前に「舟」が付くことから「三舟」と呼ばれます。
3つまとめて覚える問題は以下の記事をご参照ください！"	
代表作に『アクロイド殺し』『オリエント急行殺人事件』『そして誰もいなくなった』などがある、「ミステリーの女王」と呼ばれたイギリスの作家は誰でしょう？	アガサ・クリスティ	名探偵エルキュール・ポアロの生みの親です。	
『源氏物語』において最初の巻名は『桐壺』ですが、最後の巻名は何でしょう？	夢浮橋	パラレル問題です。「最初」が強調されるところに注目です。早押しクイズのテクニックについては以下のサイトを参考にしてください。	
テレビを見ている人のことを「視聴者」といいますが、ラジオを聴いている人のことを何というでしょう？	聴取者	視聴者はよく聞きますが、聴取者はあまり聞かないですね。	
気象学者エドワード・ローレンツの講演のタイトルに由来する、「ほんの些細な出来事が、将来的に大きな出来事を生む」と言う効果を「何効果」と言うでしょう?	バタフライ効果	「ブラジルの1匹の蝶の羽ばたきはテキサスで竜巻を引き起こすか？」というタイトルが由来です。	
日本の建築基準法において、エレベータの定員は1人あたり何kgとして決められるでしょう?	65kg	例えば積載が400kgまでなら、400÷65≒6.15なので6人が定員となります。	
313年にローマ皇帝コンスタンティヌス1世とリキニウスが発布した、信仰の自由を認めた勅令を何というでしょう？	ミラノ勅令	ミラノ勅令以前はキリスト教が迫害されていましたが、この勅令によって信仰が認められました。	
イスラエルの国旗の中央に描かれている六芒星のことを、古代イスラエルの王の名前から何というでしょう？	ダビデの星	起源については諸説あります。国旗に関するクイズは以下からどうぞ！	
その国名は現地の言葉で「ローマ人の住む土地」という意味である、黒海に面する東ヨーロッパの国はどこでしょう？	ルーマニア	東側が黒海に面しています。	
修学院離宮や円通寺などに見られる、周囲の風景を庭園の背景として取り入れる造園技法を何というでしょう？	借景	都市開発の際に景観が損なわれないかが争点になることがあります。	
友人のヴィクトル・ハルトマンの遺作展に展示されていた10枚の絵をイメージして作られた、ムソルグスキーのピアノ組曲は何でしょう?	展覧会の絵	ムソルグスキーはロシア5人組と呼ばれる1人です。ロシア5人組については以下の記事を参照してください！	
野球のグラウンドに設けられている、ピッチャーが立つ土が盛り上がった部分を何というでしょう？	(ピッチャーズ)マウンド	日本では単にマウンドと呼ばれることが多いです。	
最高気温が0℃未満の日のことを、気象用語で何というでしょう？	真冬日	最高気温や最低気温による日の呼び方はよくクイズにでます。	
将棋や囲碁の対局において、勝負がその日のうちに決まらない時にその日の最終手を紙に書いて保管することを何というでしょう？	封じ手	次のプレイヤーが長時間考えることを防ぐための手段です。	
パーリ語で「燃やす」という意味の言葉で、遺体を火葬する時は「これに付す」というものは何でしょう？	荼毘	パーリ語とは、インドで話されている言語です。「荼毘に付す」は仏教用語になります。	
定免法や上米の制などの米に関する政策を多く行ったことから「米公方」と呼ばれた、徳川幕府第8代将軍は誰でしょう？	徳川吉宗	徳川15代将軍はよくクイズに出ます。目安箱の設置でも有名です。	
赤身の肉の間に白い脂身が網目状に入った牛肉のことを、ある気象用語を用いた表現で何というでしょう？	霜降り	霜が降ったように見えることからです。	
元素の周期表において、横の並びは「周期」といいますが、縦の並びを何というでしょう？	族	1族から18族まであります。元素に関するクイズは以下にまとめてあります。	
飛行機や電車で、窓側の席をウインドウシートといいますが、通路側の席を何というでしょう？	アイルシート	パラレル問題が続きます。「aisleアイル」が「通路」という意味の英単語です。	
女性がドレスや衣服に付ける、生け花や造花で作った飾りのことをフランス語で何というでしょう？	コサージュ	フランス語で「婦人服の胴部分」という意味です。	
大相撲などで、白丸や黒丸で試合結果を示した一覧表を何というでしょう？	星取表	勝利や敗北を意味する「白星」「黒星」は星取表が由来です。	
自動車を保管する場所を車庫といいますが、飛行機を保管する場所は何というでしょう？	格納庫	飛行機の整備なども行います。	
ロシアの作曲家ストラヴィンスキーの三大バレエ音楽とは、『火の鳥』『ペトルーシュカ』と何でしょう？	春の祭典	並列問題です。「ペ」が聞こえるギリギリで読ませ押しできるようにしましょう！読ませ押しについても以下のサイトで解説しています。	
ドゥノン翼、リシュリュー翼、シュリー翼のエリアで構成される、『ミロのビーナス』や『モナ・リザ』などが保管されているパリの美術館は何でしょう?	ルーブル美術館	エリアの名前が特徴的なので、前半部分で押したいところです。	
俳句の季語を分類した「歳時記」にある5つの季節とは、春、夏、秋、冬と何でしょう？	新年	並列問題ですが、新年以外が答えになることは基本的にないです。「冬」を聞く前に答えちゃいましょう。	
天気図において両側を高気圧に挟まれた細長い低圧部のことを、ある地形に例えて何というでしょう？	気圧の谷	逆に低気圧に挟まれた高気圧部を「気圧の尾根」といいます。	
天動説や地球球体説について述べられている、古代ギリシャの天文学者プトレマイオスの著書は何でしょう？	アルマゲスト	現在では天動説は否定されていますが、その後の天文学の発展に影響を与えました。	
日本のものは消石灰に糊のりや麻などを混ぜることで作られる、防水性や防火性に優れた壁塗りの建材を何というでしょう？	漆喰	西洋では消石灰に砂を混ぜて作られます。	
兄オーギュスト、弟ルイからなる、1895年に現在の映画の原型である「シネマトグラフ」を発明したのは何兄弟でしょう？	リュミエール兄弟	実用カラー写真の開発者でもあります。エジソンが開発したキネトスコープは1度に1人しか映画を見ることができませんでした。それを改良して多くの人が同時に見れるようにしたのがシネマトグラフです。	
フランス語で「三日月」という意味である、バターをパン生地に織り込んで作られるパンは何でしょう？	クロワッサン	語源部分で答えたいところです。語源に関するクイズは以下にまとめてあります！	
一度果汁の水分を飛ばした後に、再び水を加えて元と同じ濃度の果汁を作る製法を何というでしょう？	濃縮還元	輸送の際の体積を減らすために水分を飛ばし、輸送後に元と同じ濃度に戻します。	
囲碁において、対局中に相手から取った石のことを何というでしょう？	(アゲ)ハマ	「アゲ石」ともいいます。	
日焼け止めなどに記載されている、通常時に比べて何倍までの紫外線に耐えられるようになるかを表す指標を、「日焼け防止指数」を意味する英語の略語から何というでしょう？	SPF	「Sun Protection Factor」の頭文字から取っています。	
エドガー・アラン・ポーの推理小説『モルグ街の殺人』で初登場した、世界初の名探偵とされているのは誰でしょう?	C・オーギュスト・デュパン	モルグ街の殺人は史上初の推理小説とされています。	
フランス語で「赤い風車」という意味である、パリにあるキャバレーは何でしょう？	ムーラン・ルージュ	その名の通り、屋根の上に赤い風車が建っています。	
公営ギャンブルのオートレースを監督しているのは何省でしょう？	経済産業省	どこの省庁が管轄しているかもよくクイズに出ます。	
奈良県最南端に位置する、日本一面積が広い村はどこでしょう?	十津川村	北方領土にはもっと大きい村が4つ存在しますが、日本の施政権が及ばないため十津川村が日本最大とされます。	
1957年にソ連が打ち上げた世界初の人工衛星は何でしょう？	スプートニク1号	「世界初」のものはクイズによく聞かれます。宇宙関係もよくクイズに出ます。	
男性ばかりの集団の中に女性が1人だけいることを、緑の草むらの中にざくろの赤い花が1輪咲いている事にたとえて漢字3文字で何というでしょう?	紅一点	ざくろの赤い花を女性にたとえてこのように言われます。	
1824年にドイツ人のシーボルトが長崎に開いた医学塾・診療所を何というでしょう？	鳴滝塾	未だに跡地が長崎市にあります。	
慶応大学医学部の初代学部長を務めた、破傷風菌の純粋培養やペスト菌の発見といった功績で知られる細菌学者は誰でしょう？	北里柴三郎	2024年から発行される新1000円札の肖像にもなっています。	
危険が伴うためやりたいことをためらうことを、「何は食いたし命は惜しし」というでしょう？	フグ	フグにはテトロドトキシンという毒が含まれていることからこう言われます。	
原子番号57番から71番までの元素群をランタノイドといいますが、原子番号89番から103番までの元素群を何というでしょう？	アクチノイド	元素に関するクイズは以下にまとめてあります。	
元々は1本だけのろうそくのことを指し、現在では1着しか持っていない上等な衣服のことを指す言葉は何でしょう？	一張羅	かつてはろうそくが貴重なものでした。	
「光の画家」の異名を持つ、代表作に『テュルプ博士の解剖学講義』や『夜警』などがあるオランダの画家は誰でしょう?	レンブラント	明暗を明確に描き分けることから「光の画家」と呼ばれます。『夜警』は題名とは裏腹に昼の情景が描かれています。	
ラテン語の「走路」を語源とする、目的に合わせた教育内容の計画のことを何というでしょう？	カリキュラム	語源問題もよくクイズに出ます。語源クイズについては以下のサイトを参照してください。	
歴代アメリカ大統領の中で暗殺された4人とは、エイブラハム・リンカーン、ジェームズ・ガーフィールド、ウィリアム・マッキンリーともう1人は誰でしょう？	ジョン・F・ケネディ	「並列問題」です。「ウィリアム」がギリギリ聞こえるように読ませ押しをしましょう。読ませ押しについても下記のサイトで説明しています。	
自転車のペダル、スノーボードやスキー板と靴を固定するための金具を何というでしょう?	ビンディング	英語の「binding」が「結びつける」という意味です。	
チェスにおいて唯一他のコマを飛び越えることができる、将棋の桂馬と似た動きをするコマは何でしょう？	ナイト	チェスの動き方もよくクイズに出ます。	
元々は牛乳からできるある食べ物の味のことを指し、現在では物事の本当の面白さや深い味わいのことを指す漢字3文字の言葉は何でしょう？	醍醐味	牛乳からできる「醍醐」という食べ物の味を指していたそうです。	
1997年にチェスの世界チャンピオンだったガルリ・カスパロフに勝利したスーパーコンピュータは何でしょう？	ディープ・ブルー	機械が人間に勝利したことで話題を呼びました。	
相撲において、行事が下した判定に審判委員や控え力士が異議を申し立てることを何というでしょう？	物言い	相撲にもビデオ判定が導入されています。	
アメリカのプロゴルファーであるジーン・サラゼンが開発した、主にバンカーからのショットで使うゴルフクラブのことを何というでしょう？	サンドウェッジ	「SW」と略されます。	
家の中では威張っているが外では意気地がない人物のことを、歴史上の人物の名前を用いて何というでしょう？	内弁慶	家の中では武蔵坊弁慶のようであることからこのように言います。	
髪の毛を脱色することで髪色を明るくすることを何というでしょう？	ブリーチ	メラニン色素を脱色することで明るくします。脱色するため厳密にはカラーリングとはいいません。	
キリスト教において、父・子・聖霊が元々は同じ唯一神であるとする考え方を何というでしょう？	三位一体説	3つの別々の体を持つが、実体は1つしかないという考え方です。3つで1組のものについては以下の記事をご参照ください。	
ドイツ語で「小さな夜の曲」という意味である、モーツァルトが作曲した「セレナード第13番」の題名は何でしょう？	アイネ・クライネ・ナハトムジーク	セレナーデのことを日本語では「小夜曲」といいます。	
弦楽器や打楽器において、1つの音もしくは2つの音を小刻みに演奏する方法を何というでしょう?	トレモロ	イタリア語で「振動」という意味です。	
日本では白洋社が初めて成功させた、有機溶剤を使って行う洗濯を何というでしょう？	ドライクリーニング	水に比べて油脂をより落とすことができます。	
髪の毛を染めてから時間が経過した後に、生え際の地毛と染めた毛の色味の違いが出ている状態のことを、あるデザートに例えて「何髪」というでしょう？	プリン	頭頂部の黒い部分がプリンのカラメルに見えることからです。	
粒の大きいものは特に「大納言」と呼ばれる、赤飯や和菓子などに用いられるマメ科の植物は何でしょう？	あずき	直径が5.5mm以上のものを大納言と呼びます。	
創業者である小野義眞、岩崎弥之助、井上勝の名前から社名が付けられた、日本最大の民間農場は何でしょう？	小岩井農場	創業者3人の頭文字が由来です。	
童謡『青い眼の人形』で、青い眼の人形は何からできていると歌われているでしょう？	セルロイド	童謡の歌詞についてもクイズでよく出されます。	
イタリア語で「小さい」という意味である、フルートよりも1オクターブ高い音が出る管楽器は何でしょう？	ピッコロ	こちらも語源問題です。前半部分で答えたいところです。	
別名を「タンパク石」という、10月の誕生石となっている宝石は何でしょう？	オパール	トルマリンも10月の誕生石となります。	
激しく争うことを、刀のある部分を用いて「何を削る」というでしょう？	しのぎを削る	刃と峰の間にある線のことを鎬しのぎと言います。	
別名を「正角円筒図法」という、緯線と経線が互いに直交するように描く地図投影法を何というでしょう？	メルカトル図法	高緯度になるほど実際よりも面積が大きくなってしまうという欠点があります。	
